activity_id,assoc_files,institution_id,member_id,realm,variable_id,table_id,source_id,source_type,cell_methods,cell_measures,experiment_id,variant_label,grid_label,units,time_range,chunk_freq,standard_name,long_name,frequency,file_name,path
CESM,,NCAR,,atmos,FLNS,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,net_longwave_flux_at_surface,Net longwave flux at surface,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FLNS.1hr.nc
CESM,,NCAR,,atmos,FLNSC,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,clearsky_net_longwave_flux_at_surface,Clearsky net longwave flux at surface,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FLNSC.1hr.nc
CESM,,NCAR,,atmos,FLUT,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,toa_outgoing_longwave_flux,Upwelling longwave flux at top of model,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FLUT.1hr.nc
CESM,,NCAR,,atmos,FLUTC,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,clearsky_upwelling_longwave_flux_at_top_of_model,Clearsky upwelling longwave flux at top of model,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FLUTC.1hr.nc
CESM,,NCAR,,atmos,FSNS,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,net_solar_flux_at_surface,Net solar flux at surface,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FSNS.1hr.nc
CESM,,NCAR,,atmos,FSNSC,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,clearsky_net_solar_flux_at_surface,Clearsky net solar flux at surface,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FSNSC.1hr.nc
CESM,,NCAR,,atmos,FSNTOA,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,net_solar_flux_at_top_of_atmosphere,Net solar flux at top of atmosphere,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FSNTOA.1hr.nc
CESM,,NCAR,,atmos,FSNTOAC,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,clearsky_net_solar_flux_at_top_of_atmosphere,Clearsky net solar flux at top of atmosphere,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.FSNTOAC.1hr.nc
CESM,,NCAR,,atmos,LHFLX,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,surface_upward_latent_heat_flux,Surface latent heat flux,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.LHFLX.1hr.nc
CESM,,NCAR,,atmos,Q,,,,time: point,,bhist.e213cosp217.f09_g17.mdtf_v3.2013c,,,kg/kg,20130101:010000-20150101:000000,,specific_humidity,Specific humidity,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.Q.1hrPt.nc
CESM,,NCAR,,atmos,SHFLX,,,,time: mean,,bhist.e213cosp217.f09_g17.mdtf_v3.2013,,,W m-2,20130101:010000-20150101:000000,,surface_upward_sensible_heat_flux,Surface sensible heat flux,1hr,,/huracan/tank4/cornell/GCM/CESM-MDTFv3/1hr/cesm_mdtfv3_timeslice.SHFLX.1hr.nc
