activity_id,assoc_files,institution_id,member_id,realm,variable_id,table_id,source_id,source_type,cell_methods,cell_measures,experiment_id,variant_label,grid_label,units,time_range,chunk_freq,standard_name,long_name,frequency,file_name,path
CMIP,,,,atmos,hfls,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.hfls.6hr.nc
CMIP,,,,atmos,hfss,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.hfss.6hr.nc
CMIP,,,,atmos,hus,,,,time: point,area: area,,,,1.0,19790101:060000-19840101:000000,,specific_humidity,Specific Humidity,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.hus.6hr.nc
CMIP,,,,atmos,prw,,,,time: point,area: area,,,,kg m-2,19790101:060000-19840101:000000,,atmosphere_water_vapor_content,Water Vapor Path,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.prw.6hr.nc
CMIP,,,,atmos,ps,,,,time: point,area: area,,,,Pa,19790101:060000-19840101:000000,,surface_air_pressure,Surface Air Pressure,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.ps.6hr.nc
CMIP,,,,atmos,rlds,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.rlds.6hr.nc
CMIP,,,,atmos,rldscs,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.rldscs.6hr.nc
CMIP,,,,atmos,rlus,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.rlus.6hr.nc
CMIP,,,,atmos,rlut,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.rlut.6hr.nc
CMIP,,,,atmos,rlutcs,,,,time: point,area: area,,,,W m-2,19790101:060000-19840101:000000,,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,6hr,,/huracan/tank4/cornell/GCM/mdtf/inputdata/model/GFDL.CM4.AMIP.1979010100-1983123123/6hr/GFDL.CM4.AMIP.1979010100-1983123123.rlutcs.6hr.nc
